['4', '1', '0', '1', '4', '0', '0', '11', '4', '14', '2', '4', '0', '4', '0', '16', '4', '7']
['4', '2', '0', '1', '4', '0', '0', '11', '4', '14', '3', '5', '0', '4', '0', '16', '4', '8']
['4', '1', '0', '2', '6', '0', '0', '11', '3', '14', '4', '5', '0', '4', '0', '16', '4', '9']
['4', '0', '0', '1', '4', '0', '1', '11', '5', '14', '3', '5', '0', '4', '0', '15', '4', '7']
['5', '1', '0', '2', '4', '0', '1', '11', '3', '14', '3', '5', '0', '4', '0', '15', '4', '8']
['5', '1', '0', '2', '4', '0', '1', '11', '3', '13', '3', '4', '0', '4', '0', '15', '4', '7']
['5', '1', '0', '1', '3', '0', '1', '11', '3', '13', '3', '5', '0', '4', '0', '16', '4', '8']
['5', '1', '0', '2', '6', '0', '1', '11', '4', '14', '4', '5', '0', '4', '0', '15', '4', '8']
['4', '2', '0', '1', '6', '0', '1', '10', '4', '13', '4', '5', '0', '5', '0', '16', '4', '8']
['5', '1', '0', '1', '3', '0', '0', '11', '4', '13', '4', '4', '0', '4', '0', '15', '4', '8']
['4', '1', '0', '2', '4', '0', '0', '10', '4', '13', '3', '4', '0', '4', '0', '15', '4', '8']
['4', '1', '0', '1', '3', '0', '1', '11', '3', '12', '4', '5', '0', '5', '0', '15', '4', '7']
['6', '1', '0', '1', '4', '0', '0', '11', '4', '14', '4', '5', '0', '4', '0', '15', '4', '8']
['5', '1', '0', '3', '7', '1', '1', '11', '4', '14', '4', '5', '0', '4', '0', '15', '4', '8']
['4', '1', '0', '1', '4', '0', '0', '11', '4', '14', '3', '5', '0', '4', '0', '15', '4', '8']
['5', '2', '0', '2', '5', '0', '0', '11', '3', '13', '3', '6', '0', '4', '0', '16', '4', '8']
['5', '1', '0', '1', '2', '0', '0', '10', '3', '12', '3', '5', '0', '4', '0', '16', '4', '7']
['5', '2', '0', '2', '3', '0', '1', '12', '4', '13', '3', '6', '0', '4', '0', '15', '4', '7']
['5', '1', '0', '2', '6', '0', '0', '11', '4', '13', '4', '6', '0', '4', '0', '15', '4', '9']
['6', '2', '0', '2', '4', '2', '0', '11', '3', '13', '3', '5', '0', '4', '0', '15', '4', '8']
['5', '1', '0', '2', '5', '1', '0', '10', '4', '13', '4', '6', '0', '4', '0', '16', '4', '8']
['4', '1', '0', '1', '4', '0', '0', '10', '4', '11', '3', '6', '0', '4', '0', '15', '4', '7']
['5', '2', '0', '1', '3', '0', '0', '11', '4', '13', '3', '6', '0', '5', '0', '16', '4', '8']
['4', '1', '1', '2', '5', '0', '0', '11', '3', '13', '6', '6', '0', '4', '0', '15', '4', '9']
['5', '1', '0', '1', '4', '1', '0', '11', '3', '12', '4', '6', '0', '5', '0', '15', '4', '8']
['4', '1', '0', '1', '4', '0', '0', '10', '3', '13', '4', '5', '0', '4', '0', '16', '4', '8']
['4', '1', '0', '1', '4', '0', '0', '11', '3', '12', '3', '6', '0', '4', '0', '16', '4', '8']
