['2', '0', '2', '1', '3', '0', '208', '7', '0', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['0', '0', '1', '0', '2', '0', '152', '9', '0', '0', '0', '0', '0', '1', '0', '2', '2', '7']
['7', '0', '2', '0', '4', '0', '2', '9', '0', '0', '0', '0', '0', '2', '0', '2', '3', '7']
['12', '0', '2', '3', '5', '1', '0', '10', '2', '0', '0', '0', '0', '3', '0', '1', '2', '7']
['10', '0', '2', '1', '4', '1', '0', '11', '1', '0', '0', '0', '0', '1', '0', '1', '3', '7']
['9', '0', '2', '0', '3', '0', '0', '12', '2', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['10', '0', '1', '0', '3', '0', '1', '11', '3', '0', '0', '0', '0', '1', '0', '0', '2', '7']
['11', '1', '1', '0', '3', '0', '1', '10', '2', '0', '0', '0', '0', '1', '0', '1', '2', '7']
['11', '0', '1', '2', '4', '0', '0', '11', '2', '0', '0', '0', '0', '1', '0', '1', '2', '7']
['11', '0', '1', '0', '4', '0', '0', '13', '2', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['12', '0', '2', '0', '3', '0', '0', '12', '2', '0', '0', '1', '0', '0', '0', '1', '2', '7']
['11', '0', '1', '0', '3', '0', '1', '13', '2', '0', '0', '0', '0', '1', '0', '2', '2', '6']
['10', '0', '2', '0', '3', '0', '2', '14', '1', '0', '0', '0', '0', '1', '0', '2', '3', '6']
['11', '0', '2', '0', '3', '0', '0', '15', '2', '1', '1', '1', '0', '1', '0', '3', '3', '8']
['9', '0', '2', '1', '5', '0', '1', '15', '3', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['10', '0', '1', '0', '4', '0', '0', '15', '2', '0', '0', '0', '0', '0', '0', '1', '3', '7']
['10', '0', '2', '0', '4', '0', '0', '15', '3', '0', '0', '0', '0', '0', '0', '0', '1', '8']
['11', '1', '2', '0', '3', '0', '1', '15', '2', '0', '0', '0', '1', '1', '0', '2', '2', '7']
['11', '1', '2', '0', '3', '0', '1', '15', '3', '0', '0', '0', '0', '1', '0', '2', '4', '7']
['10', '1', '3', '2', '5', '0', '1', '12', '3', '0', '0', '0', '0', '0', '0', '2', '3', '8']
['10', '0', '2', '1', '4', '0', '0', '12', '3', '1', '0', '0', '0', '0', '0', '2', '2', '8']
['10', '1', '1', '0', '3', '0', '1', '12', '3', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['11', '1', '2', '0', '4', '0', '1', '14', '2', '0', '0', '0', '0', '1', '0', '2', '3', '7']
['11', '1', '2', '1', '3', '0', '0', '12', '2', '1', '0', '0', '0', '1', '0', '2', '2', '8']
['11', '2', '2', '2', '5', '0', '0', '13', '2', '0', '0', '0', '0', '0', '0', '2', '3', '8']
['11', '1', '2', '0', '4', '0', '0', '14', '3', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['11', '1', '2', '1', '5', '0', '1', '14', '2', '0', '0', '0', '0', '0', '0', '2', '2', '7']
['10', '0', '2', '0', '4', '0', '1', '13', '2', '0', '0', '0', '0', '0', '0', '2', '2', '6']
['10', '1', '2', '0', '3', '0', '2', '12', '3', '0', '0', '0', '1', '1', '0', '2', '3', '6']
['11', '1', '2', '1', '4', '0', '2', '12', '2', '0', '0', '0', '0', '0', '0', '2', '3', '8']
['11', '1', '3', '1', '5', '0', '2', '12', '2', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['10', '1', '2', '1', '3', '0', '2', '12', '1', '0', '0', '0', '0', '0', '0', '2', '3', '7']
['11', '1', '2', '0', '3', '0', '0', '13', '2', '0', '0', '0', '0', '1', '0', '2', '3', '8']
['11', '1', '2', '0', '3', '0', '2', '13', '3', '0', '0', '0', '0', '1', '0', '2', '4', '7']
['11', '1', '2', '1', '3', '0', '2', '14', '2', '0', '0', '0', '0', '0', '0', '2', '5', '8']
['11', '1', '2', '1', '6', '0', '2', '13', '2', '0', '1', '0', '0', '0', '0', '2', '4', '9']
['11', '1', '2', '0', '3', '0', '2', '14', '2', '0', '0', '0', '0', '0', '0', '2', '4', '8']
['11', '1', '2', '1', '3', '0', '0', '14', '2', '0', '0', '0', '0', '0', '0', '2', '5', '8']
['11', '1', '2', '0', '3', '0', '0', '15', '1', '0', '0', '0', '0', '1', '0', '2', '4', '7']
['11', '1', '2', '1', '3', '0', '0', '15', '2', '0', '0', '0', '0', '1', '0', '2', '5', '8']
['11', '1', '2', '1', '5', '0', '0', '15', '2', '0', '1', '0', '0', '1', '0', '2', '5', '8']
['10', '2', '2', '0', '3', '1', '0', '16', '2', '0', '0', '0', '0', '1', '0', '2', '4', '7']
['11', '0', '2', '1', '4', '0', '0', '16', '3', '0', '0', '0', '0', '0', '0', '2', '4', '7']
['11', '1', '2', '1', '3', '0', '0', '15', '2', '0', '0', '0', '0', '1', '0', '2', '4', '7']
